Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.5133928571428571,0.6041666666666666,0.375,0.41666666666666663,0.600545634920635
DT,0.5178571428571428,0.5208333333333333,0.41666666666666663,0.3958333333333333,0.5491071428571428
KNN,0.5535714285714286,0.6067708333333333,0.3333333333333333,0.6666666666666666,0.6739583333333333
XGBoost,0.5535714285714286,0.65625,0.41666666666666663,0.6041666666666666,0.6321180555555556
ensemble,0.5892857142857143,0.5833333333333333,0.41666666666666663,0.5625,0.6316964285714286
