Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.5848214285714286,0.6354166666666666,0.5416666666666666,0.6041666666666666,0.6431795634920635
DT,0.5580357142857143,0.5625,0.625,0.5375,0.675
KNN,0.5848214285714286,0.6458333333333333,0.3958333333333333,0.7083333333333333,0.7364583333333333
XGBoost,0.6517857142857143,0.703125,0.625,0.6875,0.6527281746031746
ensemble,0.5892857142857143,0.59375,0.625,0.6,0.5564484126984126
