Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.5491071428571428,0.5729166666666666,0.4583333333333333,0.5625,0.6236855158730159
DT,0.5178571428571428,0.5208333333333333,0.41666666666666663,0.3958333333333333,0.5491071428571428
KNN,0.5535714285714286,0.6067708333333333,0.3333333333333333,0.6666666666666666,0.6739583333333333
XGBoost,0.5535714285714286,0.6197916666666666,0.41666666666666663,0.6041666666666666,0.6085069444444445
ensemble,0.5535714285714286,0.5572916666666666,0.41666666666666663,0.47916666666666663,0.6266617063492064
