Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.5535714285714286,0.5625,0.47916666666666663,0.5625,0.6229166666666667
DT,0.5580357142857143,0.5625,0.625,0.5375,0.675
KNN,0.5848214285714286,0.625,0.3958333333333333,0.7083333333333333,0.7281249999999999
XGBoost,0.6160714285714286,0.703125,0.625,0.65,0.6527281746031746
ensemble,0.5580357142857143,0.578125,0.5625,0.5625,0.5923859126984127
