Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.7455357142857143,0.8,0.7625,0.825,0.8385267857142857
DT,0.7142857142857143,0.7104166666666667,0.7125,0.7666666666666666,0.8199404761904762
KNN,0.8035714285714286,0.7786458333333333,0.75,0.8125,0.8491071428571428
XGBoost,0.7455357142857143,0.8572916666666667,0.7,0.775,0.8872767857142857
ensemble,0.7455357142857143,0.8197916666666667,0.7625,0.775,0.8697767857142857
