Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.7455357142857143,0.85625,0.7625,0.825,0.9053571428571429
DT,0.8705357142857143,0.8708333333333333,0.8875,0.9,0.9272321428571428
KNN,0.8035714285714286,0.7786458333333333,0.75,0.8125,0.8491071428571428
XGBoost,0.8080357142857143,0.9041666666666667,0.7625,0.9,0.9414434523809524
ensemble,0.8080357142857143,0.8947916666666667,0.825,0.8375,0.9388988095238096
