Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.7142857142857143,0.7583333333333333,0.7625,0.7916666666666666,0.8656249999999999
DT,0.7142857142857143,0.7145833333333333,0.7,0.7333333333333334,0.7970238095238096
KNN,0.7678571428571428,0.78125,0.75,0.775,0.8504464285714286
XGBoost,0.875,0.9041666666666667,0.875,0.875,0.9323363095238095
ensemble,0.7767857142857143,0.8052083333333333,0.75,0.7916666666666667,0.8612053571428572
