Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.90625,0.9833333333333334,0.95,0.9,0.9908333333333333
DT,0.8392857142857143,0.8291666666666666,0.825,0.9166666666666666,0.9199404761904761
KNN,0.7678571428571428,0.7734375,0.8125,0.775,0.8275297619047619
XGBoost,0.875,0.9833333333333334,0.8875,0.9,0.9908333333333333
ensemble,0.9017857142857143,0.9666666666666667,0.8875,0.95,0.9845238095238096
