Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.9375,0.9520833333333334,0.95,0.95,0.9585416666666666
DT,0.9017857142857143,0.9125,0.8875,0.95,0.9522321428571429
KNN,0.8392857142857143,0.8942708333333333,0.9375,0.8333333333333334,0.9125
XGBoost,0.9017857142857143,0.9833333333333334,0.8875,0.95,0.9908333333333333
ensemble,0.9017857142857143,1.0,0.8875,0.95,1.0
