Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.9375,0.9609375,0.95,0.95,0.9625
DT,0.8080357142857143,0.8083333333333333,0.8875,0.8428571428571429,0.8986607142857143
KNN,0.8392857142857143,0.8942708333333333,0.9375,0.8333333333333334,0.9125
XGBoost,0.9017857142857143,0.984375,0.8875,0.95,0.9859375
ensemble,0.9017857142857143,1.0,0.9375,0.9166666666666666,1.0
