Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.7455357142857143,0.8520833333333333,0.8375,0.7833333333333333,0.9194345238095238
DT,0.8035714285714286,0.8145833333333333,0.775,0.9,0.9044642857142857
KNN,0.8392857142857143,0.9505208333333334,0.8875,0.8666666666666667,0.974375
XGBoost,0.875,0.95,1.0,0.8333333333333334,0.9704166666666667
ensemble,0.8080357142857143,0.9333333333333333,0.8375,0.8666666666666667,0.9641071428571428
