Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.7410714285714286,0.8333333333333333,0.41666666666666663,0.7222222222222222,0.6729166666666666
DT,0.6160714285714286,0.5083333333333333,0.16666666666666666,0.2222222222222222,0.43675595238095233
KNN,0.6830357142857143,0.6791666666666667,0.20833333333333331,0.6666666666666666,0.6832837301587301
XGBoost,0.6785714285714286,0.7916666666666666,0.3333333333333333,0.4166666666666667,0.6949404761904762
ensemble,0.7098214285714286,0.8,0.25,0.6666666666666666,0.725
