Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.6473214285714286,0.8,0.24999999999999997,0.38888888888888884,0.6574404761904762
DT,0.5535714285714286,0.475,0.24999999999999997,0.2888888888888889,0.487797619047619
KNN,0.75,0.7333333333333333,0.5,0.75,0.7457837301587301
XGBoost,0.7142857142857143,0.825,0.4583333333333333,0.65,0.7402777777777778
ensemble,0.6473214285714286,0.6833333333333333,0.24999999999999997,0.4444444444444444,0.6123015873015873
