Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.6785714285714286,0.7,0.3333333333333333,0.5555555555555555,0.583829365079365
DT,0.5178571428571428,0.44999999999999996,0.24999999999999997,0.3,0.40446428571428567
KNN,0.6875,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6550099206349206
XGBoost,0.8080357142857143,0.7916666666666667,0.75,0.6041666666666666,0.6664682539682539
ensemble,0.6116071428571428,0.7,0.24999999999999997,0.375,0.5766865079365079
