Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.8125,0.8333333333333333,0.5833333333333333,0.75,0.7928571428571428
DT,0.6116071428571428,0.5083333333333333,0.16666666666666666,0.2222222222222222,0.43675595238095233
KNN,0.6830357142857143,0.5874999999999999,0.20833333333333331,0.6666666666666666,0.5763888888888888
XGBoost,0.7098214285714286,0.8166666666666667,0.41666666666666663,0.5833333333333334,0.711111111111111
ensemble,0.7098214285714286,0.8333333333333334,0.25,0.6666666666666666,0.7520833333333333
