Model,ACC,AUC,Recall,Precision,PR_score
Adaboost,0.7142857142857143,0.8,0.4583333333333333,0.6666666666666666,0.733829365079365
DT,0.5223214285714286,0.44999999999999996,0.24999999999999997,0.2333333333333333,0.4669642857142857
KNN,0.75,0.7666666666666666,0.5,0.75,0.769593253968254
XGBoost,0.7142857142857143,0.8333333333333333,0.375,0.6666666666666666,0.736111111111111
ensemble,0.7098214285714286,0.75,0.41666666666666663,0.5333333333333333,0.6479166666666667
